dg_id,dg_name,dg_atc_codes,dg_atc_levels
DB00598,Labetalol,"['C07BG01', 'C07CG01', 'C07AG01']","[['C07BG', 'C07B', 'C07', 'C'], ['C07CG', 'C07C', 'C07', 'C'], ['C07AG', 'C07A', 'C07', 'C']]"
DB00599,Thiopental,"['N01AF03', 'N05CB01', 'N05CA19']","[['N01AF', 'N01A', 'N01', 'N'], ['N05CB', 'N05C', 'N05', 'N'], ['N05CA', 'N05C', 'N05', 'N']]"
DB00600,Monobenzone,['D11AX13'],"[['D11AX', 'D11A', 'D11', 'D']]"
DB00603,Medroxyprogesterone acetate,"['G03AA08', 'G03DA02', 'G03FB06', 'G03FA12', 'L02AB02', 'G03AA17', 'G03AC06']","[['G03AA', 'G03A', 'G03', 'G'], ['G03DA', 'G03D', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['L02AB', 'L02A', 'L02', 'L'], ['G03AA', 'G03A', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G']]"
DB00604,Cisapride,['A03FA02'],"[['A03FA', 'A03F', 'A03', 'A']]"
DB00605,Sulindac,['M01AB02'],"[['M01AB', 'M01A', 'M01', 'M']]"
DB00606,Cyclothiazide,"['G01AE10', 'C03AB09', 'C03AA09']","[['G01AE', 'G01A', 'G01', 'G'], ['C03AB', 'C03A', 'C03', 'C'], ['C03AA', 'C03A', 'C03', 'C']]"
DB00608,Chloroquine,"['P01BB52', 'P01BA01']","[['P01BB', 'P01B', 'P01', 'P'], ['P01BA', 'P01B', 'P01', 'P']]"
DB00610,Metaraminol,['C01CA09'],"[['C01CA', 'C01C', 'C01', 'C']]"
DB00611,Butorphanol,['N02AF01'],"[['N02AF', 'N02A', 'N02', 'N']]"
DB00612,Bisoprolol,"['C07FX04', 'C07BB07', 'C07AB07', 'C09BX05', 'C09BX02', 'C09BX04', 'C07FB07']","[['C07FX', 'C07F', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C'], ['C07AB', 'C07A', 'C07', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C07FB', 'C07F', 'C07', 'C']]"
DB00613,Amodiaquine,"['P01BF03', 'P01BA06']","[['P01BF', 'P01B', 'P01', 'P'], ['P01BA', 'P01B', 'P01', 'P']]"
DB00614,Furazolidone,"['G01AX06', 'P01AB51']","[['G01AX', 'G01A', 'G01', 'G'], ['P01AB', 'P01A', 'P01', 'P']]"
DB00615,Rifabutin,"['J04AB04', 'A02BD16']","[['J04AB', 'J04A', 'J04', 'J'], ['A02BD', 'A02B', 'A02', 'A']]"
DB00617,Paramethadione,['N03AC01'],"[['N03AC', 'N03A', 'N03', 'N']]"
DB00618,Demeclocycline,"['J01AA01', 'D06AA01', 'J01AA20']","[['J01AA', 'J01A', 'J01', 'J'], ['D06AA', 'D06A', 'D06', 'D'], ['J01AA', 'J01A', 'J01', 'J']]"
DB00619,Imatinib,['L01EA01'],"[['L01EA', 'L01E', 'L01', 'L']]"
DB00620,Triamcinolone,"['D07AB09', 'R01AD11', 'R03BA06', 'D07BB03', 'A01AC01', 'H02AB08', 'D07CB01', 'S01BA05', 'D07XB02', 'S02CA04', 'C05AA12']","[['D07AB', 'D07A', 'D07', 'D'], ['R01AD', 'R01A', 'R01', 'R'], ['R03BA', 'R03B', 'R03', 'R'], ['D07BB', 'D07B', 'D07', 'D'], ['A01AC', 'A01A', 'A01', 'A'], ['H02AB', 'H02A', 'H02', 'H'], ['D07CB', 'D07C', 'D07', 'D'], ['S01BA', 'S01B', 'S01', 'S'], ['D07XB', 'D07X', 'D07', 'D'], ['S02CA', 'S02C', 'S02', 'S'], ['C05AA', 'C05A', 'C05', 'C']]"
DB00621,Oxandrolone,['A14AA08'],"[['A14AA', 'A14A', 'A14', 'A']]"
DB00622,Nicardipine,['C08CA04'],"[['C08CA', 'C08C', 'C08', 'C']]"
DB00623,Fluphenazine,['N05AB02'],"[['N05AB', 'N05A', 'N05', 'N']]"
DB00624,Testosterone,"['G03BA03', 'G03EA02']","[['G03BA', 'G03B', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G']]"
DB00626,Bacitracin,"['J01XX10', 'D06AX05', 'R02AB04']","[['J01XX', 'J01X', 'J01', 'J'], ['D06AX', 'D06A', 'D06', 'D'], ['R02AB', 'R02A', 'R02', 'R']]"
DB00627,Niacin,"['C10AD02', 'C10AD52', 'C10BA01', 'C04AC01']","[['C10AD', 'C10A', 'C10', 'C'], ['C10AD', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C04AC', 'C04A', 'C04', 'C']]"
DB00628,Clorazepic acid,['N05BA05'],"[['N05BA', 'N05B', 'N05', 'N']]"
DB00630,Alendronic acid,"['M05BB03', 'M05BA04', 'M05BB06', 'M05BB05']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BA', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M']]"
DB00631,Clofarabine,['L01BB06'],"[['L01BB', 'L01B', 'L01', 'L']]"
DB00633,Dexmedetomidine,['N05CM18'],"[['N05CM', 'N05C', 'N05', 'N']]"
DB00635,Prednisone,"['A07EA03', 'H02AB07']","[['A07EA', 'A07E', 'A07', 'A'], ['H02AB', 'H02A', 'H02', 'H']]"
DB00636,Clofibrate,['C10AB01'],"[['C10AB', 'C10A', 'C10', 'C']]"
DB00637,Astemizole,['R06AX11'],"[['R06AX', 'R06A', 'R06', 'R']]"
DB00640,Adenosine,['C01EB10'],"[['C01EB', 'C01E', 'C01', 'C']]"
DB00641,Simvastatin,"['A10BH51', 'C10AA01', 'C10BX04', 'C10BA02', 'C10BX01', 'C10BA04']","[['A10BH', 'A10B', 'A10', 'A'], ['C10AA', 'C10A', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C']]"
DB00642,Pemetrexed,['L01BA04'],"[['L01BA', 'L01B', 'L01', 'L']]"
DB00643,Mebendazole,"['P02CA51', 'P02CA01']","[['P02CA', 'P02C', 'P02', 'P'], ['P02CA', 'P02C', 'P02', 'P']]"
DB00644,Gonadorelin,"['V04CM01', 'H01CA01']","[['V04CM', 'V04C', 'V04', 'V'], ['H01CA', 'H01C', 'H01', 'H']]"
DB00645,Dyclonine,"['N01BX02', 'R02AD04']","[['N01BX', 'N01B', 'N01', 'N'], ['R02AD', 'R02A', 'R02', 'R']]"
DB00647,Dextropropoxyphene,"['N02AC04', 'N02AC54', 'N02AC74']","[['N02AC', 'N02A', 'N02', 'N'], ['N02AC', 'N02A', 'N02', 'N'], ['N02AC', 'N02A', 'N02', 'N']]"
DB00648,Mitotane,['L01XX23'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00651,Dyphylline,"['R03DA20', 'R03DB01', 'R03DA51', 'R03DA01']","[['R03DA', 'R03D', 'R03', 'R'], ['R03DB', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R']]"
DB00652,Pentazocine,['N02AD01'],"[['N02AD', 'N02A', 'N02', 'N']]"
DB00653,Magnesium sulfate,"['A06AD04', 'V04CC02', 'D11AX05', 'B05XA05', 'A12CC02']","[['A06AD', 'A06A', 'A06', 'A'], ['V04CC', 'V04C', 'V04', 'V'], ['D11AX', 'D11A', 'D11', 'D'], ['B05XA', 'B05X', 'B05', 'B'], ['A12CC', 'A12C', 'A12', 'A']]"
DB00654,Latanoprost,"['S01EE01', 'S01EE51']","[['S01EE', 'S01E', 'S01', 'S'], ['S01EE', 'S01E', 'S01', 'S']]"
DB00655,Estrone,"['G03CC04', 'G03CA07']","[['G03CC', 'G03C', 'G03', 'G'], ['G03CA', 'G03C', 'G03', 'G']]"
DB00656,Trazodone,['N06AX05'],"[['N06AX', 'N06A', 'N06', 'N']]"
DB00657,Mecamylamine,['C02BB01'],"[['C02BB', 'C02B', 'C02', 'C']]"
DB00658,Sevelamer,['V03AE02'],"[['V03AE', 'V03A', 'V03', 'V']]"
DB00659,Acamprosate,['N07BB03'],"[['N07BB', 'N07B', 'N07', 'N']]"
DB00661,Verapamil,"['C09BB10', 'C08DA51', 'C08DA01']","[['C09BB', 'C09B', 'C09', 'C'], ['C08DA', 'C08D', 'C08', 'C'], ['C08DA', 'C08D', 'C08', 'C']]"
DB00663,Flumethasone,"['D07AB03', 'D07BB01', 'S02CA02', 'D07CB05', 'D07XB01']","[['D07AB', 'D07A', 'D07', 'D'], ['D07BB', 'D07B', 'D07', 'D'], ['S02CA', 'S02C', 'S02', 'S'], ['D07CB', 'D07C', 'D07', 'D'], ['D07XB', 'D07X', 'D07', 'D']]"
DB00665,Nilutamide,['L02BB02'],"[['L02BB', 'L02B', 'L02', 'L']]"
DB00666,Nafarelin,['H01CA02'],"[['H01CA', 'H01C', 'H01', 'H']]"
DB00668,Epinephrine,"['A01AD01', 'R03AK01', 'B02BC09', 'C01CA24', 'S01EA01', 'R01AA14', 'R03AA01', 'S01EA51']","[['A01AD', 'A01A', 'A01', 'A'], ['R03AK', 'R03A', 'R03', 'R'], ['B02BC', 'B02B', 'B02', 'B'], ['C01CA', 'C01C', 'C01', 'C'], ['S01EA', 'S01E', 'S01', 'S'], ['R01AA', 'R01A', 'R01', 'R'], ['R03AA', 'R03A', 'R03', 'R'], ['S01EA', 'S01E', 'S01', 'S']]"
DB00669,Sumatriptan,"['N02CC01', 'G01AE10']","[['N02CC', 'N02C', 'N02', 'N'], ['G01AE', 'G01A', 'G01', 'G']]"
DB00670,Pirenzepine,['A02BX03'],"[['A02BX', 'A02B', 'A02', 'A']]"
DB00672,Chlorpropamide,"['G01AE10', 'A10BB02']","[['G01AE', 'G01A', 'G01', 'G'], ['A10BB', 'A10B', 'A10', 'A']]"
DB00673,Aprepitant,['A04AD12'],"[['A04AD', 'A04A', 'A04', 'A']]"
DB00674,Galantamine,['N06DA04'],"[['N06DA', 'N06D', 'N06', 'N']]"
DB00675,Tamoxifen,['L02BA01'],"[['L02BA', 'L02B', 'L02', 'L']]"
DB00678,Losartan,"['C09CA01', 'C09DA01', 'C09DB06']","[['C09CA', 'C09C', 'C09', 'C'], ['C09DA', 'C09D', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C']]"
DB00679,Thioridazine,['N05AC02'],"[['N05AC', 'N05A', 'N05', 'N']]"
DB00680,Moricizine,['C01BG01'],"[['C01BG', 'C01B', 'C01', 'C']]"
DB00682,Warfarin,['B01AA03'],"[['B01AA', 'B01A', 'B01', 'B']]"
DB00683,Midazolam,['N05CD08'],"[['N05CD', 'N05C', 'N05', 'N']]"
DB00685,Trovafloxacin,['J01MA13'],"[['J01MA', 'J01M', 'J01', 'J']]"
DB00686,Pentosan polysulfate,"['C05BA04', 'G04BX15']","[['C05BA', 'C05B', 'C05', 'C'], ['G04BX', 'G04B', 'G04', 'G']]"
DB00687,Fludrocortisone,"['S02CA07', 'S01CA06', 'H02AA02', 'S03CA05']","[['S02CA', 'S02C', 'S02', 'S'], ['S01CA', 'S01C', 'S01', 'S'], ['H02AA', 'H02A', 'H02', 'H'], ['S03CA', 'S03C', 'S03', 'S']]"
DB00690,Flurazepam,['N05CD01'],"[['N05CD', 'N05C', 'N05', 'N']]"
DB00691,Moexipril,"['C09AA13', 'C09BA13']","[['C09AA', 'C09A', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C']]"
DB00692,Phentolamine,"['V03AB36', 'C04AB01']","[['V03AB', 'V03A', 'V03', 'V'], ['C04AB', 'C04A', 'C04', 'C']]"
DB00693,Fluorescein,"['S01JA01', 'S01JA51']","[['S01JA', 'S01J', 'S01', 'S'], ['S01JA', 'S01J', 'S01', 'S']]"
DB00694,Daunorubicin,"['L01DB02', 'L01XY01']","[['L01DB', 'L01D', 'L01', 'L'], ['L01XY', 'L01X', 'L01', 'L']]"
DB00695,Furosemide,"['C03EB01', 'C03CA01', 'G01AE10', 'C03CB01']","[['C03EB', 'C03E', 'C03', 'C'], ['C03CA', 'C03C', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03CB', 'C03C', 'C03', 'C']]"
DB00696,Ergotamine,"['N02CA02', 'N02CA52', 'N02CA72']","[['N02CA', 'N02C', 'N02', 'N'], ['N02CA', 'N02C', 'N02', 'N'], ['N02CA', 'N02C', 'N02', 'N']]"
DB00697,Tizanidine,['M03BX02'],"[['M03BX', 'M03B', 'M03', 'M']]"
DB00699,Nicergoline,['C04AE02'],"[['C04AE', 'C04A', 'C04', 'C']]"
DB00700,Eplerenone,['C03DA04'],"[['C03DA', 'C03D', 'C03', 'C']]"
DB00703,Methazolamide,"['G01AE10', 'S01EC05']","[['G01AE', 'G01A', 'G01', 'G'], ['S01EC', 'S01E', 'S01', 'S']]"
DB00704,Naltrexone,"['N02AA56', 'N07BB04', 'A08AA62']","[['N02AA', 'N02A', 'N02', 'N'], ['N07BB', 'N07B', 'N07', 'N'], ['A08AA', 'A08A', 'A08', 'A']]"
DB00706,Tamsulosin,"['G04CA52', 'G04CA02', 'G01AE10', 'G04CA54', 'G04CA53']","[['G04CA', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G'], ['G01AE', 'G01A', 'G01', 'G'], ['G04CA', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G']]"
DB00707,Porfimer sodium,['L01XD01'],"[['L01XD', 'L01X', 'L01', 'L']]"
DB00708,Sufentanil,['N01AH03'],"[['N01AH', 'N01A', 'N01', 'N']]"
DB00709,Lamivudine,"['J05AR27', 'J05AR02', 'J05AR25', 'J05AR11', 'J05AR07', 'J05AR01', 'J05AR13', 'J05AR12', 'J05AR24', 'J05AR04', 'J05AR16', 'J05AR05', 'J05AF05']","[['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AF', 'J05A', 'J05', 'J']]"
DB00710,Ibandronate,"['M05BA06', 'M05BB09']","[['M05BA', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M']]"
DB00711,Diethylcarbamazine,['P02CB02'],"[['P02CB', 'P02C', 'P02', 'P']]"
DB00712,Flurbiprofen,"['M02AA19', 'M01AE09', 'R02AX01', 'S01BC04']","[['M02AA', 'M02A', 'M02', 'M'], ['M01AE', 'M01A', 'M01', 'M'], ['R02AX', 'R02A', 'R02', 'R'], ['S01BC', 'S01B', 'S01', 'S']]"
DB00713,Oxacillin,"['J01CR50', 'J01CF04']","[['J01CR', 'J01C', 'J01', 'J'], ['J01CF', 'J01C', 'J01', 'J']]"
DB00714,Apomorphine,"['G04BE07', 'N04BC07']","[['G04BE', 'G04B', 'G04', 'G'], ['N04BC', 'N04B', 'N04', 'N']]"
DB00715,Paroxetine,['N06AB05'],"[['N06AB', 'N06A', 'N06', 'N']]"
DB00716,Nedocromil,"['R03BC03', 'R01AC07', 'S01GX04']","[['R03BC', 'R03B', 'R03', 'R'], ['R01AC', 'R01A', 'R01', 'R'], ['S01GX', 'S01G', 'S01', 'S']]"
DB00717,Norethisterone,"['H01CC53', 'H01CC54', 'G03AA05', 'G03DC02', 'G03AB04', 'G03AC01', 'G03FA01', 'G03FB05']","[['H01CC', 'H01C', 'H01', 'H'], ['H01CC', 'H01C', 'H01', 'H'], ['G03AA', 'G03A', 'G03', 'G'], ['G03DC', 'G03D', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G']]"
DB00719,Azatadine,['R06AX09'],"[['R06AX', 'R06A', 'R06', 'R']]"
DB00720,Clodronic acid,['M05BA02'],"[['M05BA', 'M05B', 'M05', 'M']]"
DB00721,Procaine,"['N01BA52', 'C05AD05', 'S01HA05', 'N01BA02']","[['N01BA', 'N01B', 'N01', 'N'], ['C05AD', 'C05A', 'C05', 'C'], ['S01HA', 'S01H', 'S01', 'S'], ['N01BA', 'N01B', 'N01', 'N']]"
DB00722,Lisinopril,"['C09BA03', 'C10BX07', 'C09AA03', 'C09BB03']","[['C09BA', 'C09B', 'C09', 'C'], ['C10BX', 'C10B', 'C10', 'C'], ['C09AA', 'C09A', 'C09', 'C'], ['C09BB', 'C09B', 'C09', 'C']]"
DB00723,Methoxamine,['C01CA10'],"[['C01CA', 'C01C', 'C01', 'C']]"
DB00724,Imiquimod,['D06BB10'],"[['D06BB', 'D06B', 'D06', 'D']]"
DB00725,Homatropine methylbromide,"['A03CB04', 'A03BB06']","[['A03CB', 'A03C', 'A03', 'A'], ['A03BB', 'A03B', 'A03', 'A']]"
DB00726,Trimipramine,['N06AA06'],"[['N06AA', 'N06A', 'N06', 'N']]"
DB00727,Nitroglycerin,"['C01DA02', 'C01DA52', 'C05AE01']","[['C01DA', 'C01D', 'C01', 'C'], ['C01DA', 'C01D', 'C01', 'C'], ['C05AE', 'C05A', 'C05', 'C']]"
DB00728,Rocuronium,['M03AC09'],"[['M03AC', 'M03A', 'M03', 'M']]"
DB00731,Nateglinide,['A10BX03'],"[['A10BX', 'A10B', 'A10', 'A']]"
DB00733,Pralidoxime,['V03AB04'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB00734,Risperidone,['N05AX08'],"[['N05AX', 'N05A', 'N05', 'N']]"
DB00735,Naftifine,['D01AE22'],"[['D01AE', 'D01A', 'D01', 'D']]"
DB00736,Esomeprazole,"['A02BD06', 'A02BC05', 'M01AE52']","[['A02BD', 'A02B', 'A02', 'A'], ['A02BC', 'A02B', 'A02', 'A'], ['M01AE', 'M01A', 'M01', 'M']]"
DB00737,Meclizine,"['R06AE55', 'R06AE05']","[['R06AE', 'R06A', 'R06', 'R'], ['R06AE', 'R06A', 'R06', 'R']]"
DB00738,Pentamidine,['P01CX01'],"[['P01CX', 'P01C', 'P01', 'P']]"
DB00740,Riluzole,['N07XX02'],"[['N07XX', 'N07X', 'N07', 'N']]"
DB00741,Hydrocortisone,"['S01CB03', 'A01AC03', 'S01BA02', 'S01CA03', 'D07AA02', 'S01BB01', 'D07XA01', 'D07BA04', 'S02CA03', 'A07EA02', 'S02BA01', 'R01AD60', 'H02AB09', 'D07CA01', 'S03CA04', 'C05AA01']","[['S01CB', 'S01C', 'S01', 'S'], ['A01AC', 'A01A', 'A01', 'A'], ['S01BA', 'S01B', 'S01', 'S'], ['S01CA', 'S01C', 'S01', 'S'], ['D07AA', 'D07A', 'D07', 'D'], ['S01BB', 'S01B', 'S01', 'S'], ['D07XA', 'D07X', 'D07', 'D'], ['D07BA', 'D07B', 'D07', 'D'], ['S02CA', 'S02C', 'S02', 'S'], ['A07EA', 'A07E', 'A07', 'A'], ['S02BA', 'S02B', 'S02', 'S'], ['R01AD', 'R01A', 'R01', 'R'], ['H02AB', 'H02A', 'H02', 'H'], ['D07CA', 'D07C', 'D07', 'D'], ['S03CA', 'S03C', 'S03', 'S'], ['C05AA', 'C05A', 'C05', 'C']]"
DB00745,Modafinil,['N06BA07'],"[['N06BA', 'N06B', 'N06', 'N']]"
DB00746,Deferoxamine,['V03AC01'],"[['V03AC', 'V03A', 'V03', 'V']]"
DB00747,Scopolamine,"['N05CM05', 'S01FA02', 'A04AD01', 'A04AD51']","[['N05CM', 'N05C', 'N05', 'N'], ['S01FA', 'S01F', 'S01', 'S'], ['A04AD', 'A04A', 'A04', 'A'], ['A04AD', 'A04A', 'A04', 'A']]"
DB00748,Carbinoxamine,['R06AA08'],"[['R06AA', 'R06A', 'R06', 'R']]"
DB00749,Etodolac,['M01AB08'],"[['M01AB', 'M01A', 'M01', 'M']]"
DB00750,Prilocaine,"['N01BB54', 'N01BB04']","[['N01BB', 'N01B', 'N01', 'N'], ['N01BB', 'N01B', 'N01', 'N']]"
DB00751,Epinastine,"['S01GX10', 'R06AX24']","[['S01GX', 'S01G', 'S01', 'S'], ['R06AX', 'R06A', 'R06', 'R']]"
DB00752,Tranylcypromine,['N06AF04'],"[['N06AF', 'N06A', 'N06', 'N']]"
DB00753,Isoflurane,['N01AB06'],"[['N01AB', 'N01A', 'N01', 'N']]"
DB00754,Ethotoin,['N03AB01'],"[['N03AB', 'N03A', 'N03', 'N']]"
DB00755,Tretinoin,"['L01XF01', 'D10AD51', 'D10AD01']","[['L01XF', 'L01X', 'L01', 'L'], ['D10AD', 'D10A', 'D10', 'D'], ['D10AD', 'D10A', 'D10', 'D']]"
DB00756,Hexachlorophene,['D08AE01'],"[['D08AE', 'D08A', 'D08', 'D']]"
DB00757,Dolasetron,['A04AA04'],"[['A04AA', 'A04A', 'A04', 'A']]"
DB00758,Clopidogrel,['B01AC04'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB00759,Tetracycline,"['S02AA08', 'A02BD02', 'A01AB13', 'J01AA07', 'S01AA09', 'J01AA20', 'J01RA08', 'S03AA02', 'D06AA04', 'A02BD08']","[['S02AA', 'S02A', 'S02', 'S'], ['A02BD', 'A02B', 'A02', 'A'], ['A01AB', 'A01A', 'A01', 'A'], ['J01AA', 'J01A', 'J01', 'J'], ['S01AA', 'S01A', 'S01', 'S'], ['J01AA', 'J01A', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J'], ['S03AA', 'S03A', 'S03', 'S'], ['D06AA', 'D06A', 'D06', 'D'], ['A02BD', 'A02B', 'A02', 'A']]"
DB00761,Potassium chloride,"['A12BA51', 'B05XA01', 'A12BA01']","[['A12BA', 'A12B', 'A12', 'A'], ['B05XA', 'B05X', 'B05', 'B'], ['A12BA', 'A12B', 'A12', 'A']]"
DB00762,Irinotecan,['L01CE02'],"[['L01CE', 'L01C', 'L01', 'L']]"
DB00763,Methimazole,"['H03BB52', 'H03BB02']","[['H03BB', 'H03B', 'H03', 'H'], ['H03BB', 'H03B', 'H03', 'H']]"
DB00764,Mometasone,"['R03AL12', 'R01AD59', 'R03AK14']","[['R03AL', 'R03A', 'R03', 'R'], ['R01AD', 'R01A', 'R01', 'R'], ['R03AK', 'R03A', 'R03', 'R']]"
DB00765,Metyrosine,['C02KB01'],"[['C02KB', 'C02K', 'C02', 'C']]"
DB00768,Olopatadine,"['S01GX09', 'R01AC08']","[['S01GX', 'S01G', 'S01', 'S'], ['R01AC', 'R01A', 'R01', 'R']]"
DB00770,Alprostadil,"['C01EA01', 'G04BE01']","[['C01EA', 'C01E', 'C01', 'C'], ['G04BE', 'G04B', 'G04', 'G']]"
DB00771,Clidinium,['A03CA02'],"[['A03CA', 'A03C', 'A03', 'A']]"
DB00772,Malathion,['P03AX03'],"[['P03AX', 'P03A', 'P03', 'P']]"
DB00773,Etoposide,['L01CB01'],"[['L01CB', 'L01C', 'L01', 'L']]"
DB00774,Hydroflumethiazide,"['C03AA02', 'G01AE10', 'C03AH02', 'C03AB02']","[['C03AA', 'C03A', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03AH', 'C03A', 'C03', 'C'], ['C03AB', 'C03A', 'C03', 'C']]"
DB00775,Tirofiban,['B01AC17'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB00776,Oxcarbazepine,['N03AF02'],"[['N03AF', 'N03A', 'N03', 'N']]"
DB00777,Propiomazine,['N05CM06'],"[['N05CM', 'N05C', 'N05', 'N']]"
DB00778,Roxithromycin,['J01FA06'],"[['J01FA', 'J01F', 'J01', 'J']]"
DB00779,Nalidixic acid,['J01MB02'],"[['J01MB', 'J01M', 'J01', 'J']]"
DB00780,Phenelzine,['N06AF03'],"[['N06AF', 'N06A', 'N06', 'N']]"
DB00782,Propantheline,"['A03AB05', 'A03CA34']","[['A03AB', 'A03A', 'A03', 'A'], ['A03CA', 'A03C', 'A03', 'A']]"
DB00783,Estradiol,"['G03FA16', 'G03FA06', 'G03FA09', 'G03FA14', 'G03CA53', 'G03FA12', 'G03FB12', 'G03FB03', 'G03FA15', 'G03FB02', 'G03FB10', 'G03FA10', 'G03EA01', 'G03FA04', 'G03FB11', 'G03FA01', 'G03FB09', 'G03FB08', 'G03EA03', 'G03AA14', 'G03AB08', 'G03FB01', 'G03FA03', 'H01CC54', 'G03FA08', 'G03FB06', 'G03EA02', 'G03AA17', 'G03FA11', 'G03FB07', 'G03FA17', 'G03FA07', 'G03FA02', 'G03HB01', 'H01CC53', 'G03FB04', 'G03FA13', 'G02BB01', 'G03CA03', 'G03FA05', 'G03FB05']","[['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03CA', 'G03C', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G'], ['G03AB', 'G03A', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['H01CC', 'H01C', 'H01', 'H'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G'], ['G03AA', 'G03A', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03HB', 'G03H', 'G03', 'G'], ['H01CC', 'H01C', 'H01', 'H'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G02BB', 'G02B', 'G02', 'G'], ['G03CA', 'G03C', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G']]"
DB00784,Mefenamic acid,['M01AG01'],"[['M01AG', 'M01A', 'M01', 'M']]"
DB00788,Naproxen,"['G02CC02', 'M02AA12', 'M01AE56', 'M01AE52', 'M01AE02']","[['G02CC', 'G02C', 'G02', 'G'], ['M02AA', 'M02A', 'M02', 'M'], ['M01AE', 'M01A', 'M01', 'M'], ['M01AE', 'M01A', 'M01', 'M'], ['M01AE', 'M01A', 'M01', 'M']]"
DB00789,Gadopentetic acid,['V08CA01'],"[['V08CA', 'V08C', 'V08', 'V']]"
