dg_id,dg_name,dg_atc_codes,dg_atc_levels,kegg_cid
DB00388,Phenylephrine,"['S01FB01', 'R01AB01', 'C01CA06', 'R01AA04', 'S01FB51', 'R01BA53', 'S01GA05', 'S01GA55', 'R01BA03']","[['S01FB', 'S01F', 'S01', 'S'], ['R01AB', 'R01A', 'R01', 'R'], ['C01CA', 'C01C', 'C01', 'C'], ['R01AA', 'R01A', 'R01', 'R'], ['S01FB', 'S01F', 'S01', 'S'], ['R01BA', 'R01B', 'R01', 'R'], ['S01GA', 'S01G', 'S01', 'S'], ['S01GA', 'S01G', 'S01', 'S'], ['R01BA', 'R01B', 'R01', 'R']]",C07441
DB00389,Carbimazole,['H03BB01'],"[['H03BB', 'H03B', 'H03', 'H']]",C07615
DB00390,Digoxin,['C01AA05'],"[['C01AA', 'C01A', 'C01', 'C']]",C06956
DB00393,Nimodipine,['C08CA06'],"[['C08CA', 'C08C', 'C08', 'C']]",C07267
DB00394,Beclomethasone dipropionate,"['D07CC04', 'R03AL09', 'R03BA01', 'D07AC15', 'R03AK08', 'R03AK13', 'R01AD01', 'A07EA07']","[['D07CC', 'D07C', 'D07', 'D'], ['R03AL', 'R03A', 'R03', 'R'], ['R03BA', 'R03B', 'R03', 'R'], ['D07AC', 'D07A', 'D07', 'D'], ['R03AK', 'R03A', 'R03', 'R'], ['R03AK', 'R03A', 'R03', 'R'], ['R01AD', 'R01A', 'R01', 'R'], ['A07EA', 'A07E', 'A07', 'A']]",C07813
DB00395,Carisoprodol,"['M03BA02', 'M03BA72', 'M03BA52']","[['M03BA', 'M03B', 'M03', 'M'], ['M03BA', 'M03B', 'M03', 'M'], ['M03BA', 'M03B', 'M03', 'M']]",C07927
DB00396,Progesterone,"['G03FA04', 'G03DA04']","[['G03FA', 'G03F', 'G03', 'G'], ['G03DA', 'G03D', 'G03', 'G']]",C00410
DB00397,Phenylpropanolamine,"['R01BA51', 'R01BA01']","[['R01BA', 'R01B', 'R01', 'R'], ['R01BA', 'R01B', 'R01', 'R']]",C16719
DB00400,Griseofulvin,"['D01BA01', 'D01AA08']","[['D01BA', 'D01B', 'D01', 'D'], ['D01AA', 'D01A', 'D01', 'D']]",C06686
DB00401,Nisoldipine,['C08CA07'],"[['C08CA', 'C08C', 'C08', 'C']]",C07699
DB00404,Alprazolam,['N05BA12'],"[['N05BA', 'N05B', 'N05', 'N']]",C06817
DB00408,Loxapine,['N05AH01'],"[['N05AH', 'N05A', 'N05', 'N']]",C07104
DB00414,Acetohexamide,"['G01AE10', 'A10BB31']","[['G01AE', 'G01A', 'G01', 'G'], ['A10BB', 'A10B', 'A10', 'A']]",C06806
DB00415,Ampicillin,"['J01CR50', 'J01CA51', 'J01CA01', 'S01AA19']","[['J01CR', 'J01C', 'J01', 'J'], ['J01CA', 'J01C', 'J01', 'J'], ['J01CA', 'J01C', 'J01', 'J'], ['S01AA', 'S01A', 'S01', 'S']]",C06574
DB00417,Phenoxymethylpenicillin,"['J01CR50', 'J01CE10', 'J01CE02']","[['J01CR', 'J01C', 'J01', 'J'], ['J01CE', 'J01C', 'J01', 'J'], ['J01CE', 'J01C', 'J01', 'J']]",C08126
DB00420,Promazine,['N05AA03'],"[['N05AA', 'N05A', 'N05', 'N']]",C07379
DB00421,Spironolactone,['C03DA01'],"[['C03DA', 'C03D', 'C03', 'C']]",C07310
DB00422,Methylphenidate,['N06BA04'],"[['N06BA', 'N06B', 'N06', 'N']]",C07196
DB00424,Hyoscyamine,"['A03BA03', 'A03CB31']","[['A03BA', 'A03B', 'A03', 'A'], ['A03CB', 'A03C', 'A03', 'A']]",C02046
DB00425,Zolpidem,['N05CF02'],"[['N05CF', 'N05C', 'N05', 'N']]",C07219
DB00428,Streptozocin,['L01AD04'],"[['L01AD', 'L01A', 'L01', 'L']]",C07313
DB00431,Lindane,['P03AB02'],"[['P03AB', 'P03A', 'P03', 'P']]",C07075
DB00433,Prochlorperazine,['N05AB04'],"[['N05AB', 'N05A', 'N05', 'N']]",C07403
DB00434,Cyproheptadine,['R06AX02'],"[['R06AX', 'R06A', 'R06', 'R']]",C06935
DB00435,Nitric Oxide,['R07AX01'],"[['R07AX', 'R07A', 'R07', 'R']]",C00533
DB00436,Bendroflumethiazide,"['C03AB01', 'C03EA13', 'G01AE10', 'C03AA01']","[['C03AB', 'C03A', 'C03', 'C'], ['C03EA', 'C03E', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03AA', 'C03A', 'C03', 'C']]",C07758
DB00439,Cerivastatin,['C10AA06'],"[['C10AA', 'C10A', 'C10', 'C']]",C07966
DB00441,Gemcitabine,['L01BC05'],"[['L01BC', 'L01B', 'L01', 'L']]",C07650
DB00444,Teniposide,['L01CB02'],"[['L01CB', 'L01C', 'L01', 'L']]",C11153
DB00445,Epirubicin,['L01DB03'],"[['L01DB', 'L01D', 'L01', 'L']]",C11230
DB00446,Chloramphenicol,"['D06AX02', 'S02AA01', 'D10AF03', 'S01AA01', 'G01AA05', 'J01BA01', 'S03AA08']","[['D06AX', 'D06A', 'D06', 'D'], ['S02AA', 'S02A', 'S02', 'S'], ['D10AF', 'D10A', 'D10', 'D'], ['S01AA', 'S01A', 'S01', 'S'], ['G01AA', 'G01A', 'G01', 'G'], ['J01BA', 'J01B', 'J01', 'J'], ['S03AA', 'S03A', 'S03', 'S']]",C00918
DB00449,Dipivefrin,['S01EA02'],"[['S01EA', 'S01E', 'S01', 'S']]",C06963
DB00451,Levothyroxine,"['H03AA01', 'H03AA51']","[['H03AA', 'H03A', 'H03', 'H'], ['H03AA', 'H03A', 'H03', 'H']]",C01829
DB00452,Framycetin,"['D09AA01', 'R01AX08', 'S01AA07']","[['D09AA', 'D09A', 'D09', 'D'], ['R01AX', 'R01A', 'R01', 'R'], ['S01AA', 'S01A', 'S01', 'S']]",C01737
DB00454,Meperidine,"['N02AB02', 'N02AB72', 'N02AB52', 'N02AG03']","[['N02AB', 'N02A', 'N02', 'N'], ['N02AB', 'N02A', 'N02', 'N'], ['N02AB', 'N02A', 'N02', 'N'], ['N02AG', 'N02A', 'N02', 'N']]",C07128
DB00457,Prazosin,"['C02LE01', 'C02CA01']","[['C02LE', 'C02L', 'C02', 'C'], ['C02CA', 'C02C', 'C02', 'C']]",C07368
DB00458,Imipramine,['N06AA02'],"[['N06AA', 'N06A', 'N06', 'N']]",C07049
DB00465,Ketorolac,"['M01AB15', 'S01FB51', 'S01BC05']","[['M01AB', 'M01A', 'M01', 'M'], ['S01FB', 'S01F', 'S01', 'S'], ['S01BC', 'S01B', 'S01', 'S']]",C07062
DB00467,Enoxacin,['J01MA04'],"[['J01MA', 'J01M', 'J01', 'J']]",C06979
DB00468,Quinine,"['M09AA72', 'P01BC01']","[['M09AA', 'M09A', 'M09', 'M'], ['P01BC', 'P01B', 'P01', 'P']]",C06526
DB00470,Dronabinol,['A04AD10'],"[['A04AD', 'A04A', 'A04', 'A']]",C06972
DB00471,Montelukast,"['R03DC03', 'R03DC53']","[['R03DC', 'R03D', 'R03', 'R'], ['R03DC', 'R03D', 'R03', 'R']]",C07482
DB00474,Methohexital,"['N05CB01', 'N01AF01', 'N05CA15']","[['N05CB', 'N05C', 'N05', 'N'], ['N01AF', 'N01A', 'N01', 'N'], ['N05CA', 'N05C', 'N05', 'N']]",C07844
DB00477,Chlorpromazine,['N05AA01'],"[['N05AA', 'N05A', 'N05', 'N']]",C06906
DB00481,Raloxifene,['G03XC01'],"[['G03XC', 'G03X', 'G03', 'G']]",C07228
DB00482,Celecoxib,"['N02AJ16', 'M01AH01', 'G01AE10', 'L01XX33', 'C08CA51']","[['N02AJ', 'N02A', 'N02', 'N'], ['M01AH', 'M01A', 'M01', 'M'], ['G01AE', 'G01A', 'G01', 'G'], ['L01XX', 'L01X', 'L01', 'L'], ['C08CA', 'C08C', 'C08', 'C']]",C07589
DB00484,Brimonidine,"['D11AX21', 'S01GA07', 'S01EA05']","[['D11AX', 'D11A', 'D11', 'D'], ['S01GA', 'S01G', 'S01', 'S'], ['S01EA', 'S01E', 'S01', 'S']]",C07886
DB00489,Sotalol,"['C07AA07', 'C07BA07', 'C07FX02']","[['C07AA', 'C07A', 'C07', 'C'], ['C07BA', 'C07B', 'C07', 'C'], ['C07FX', 'C07F', 'C07', 'C']]",C07309
DB00490,Buspirone,['N05BE01'],"[['N05BE', 'N05B', 'N05', 'N']]",C06861
DB00491,Miglitol,['A10BF02'],"[['A10BF', 'A10B', 'A10', 'A']]",C07708
DB00492,Fosinopril,"['C09BA09', 'C09AA09']","[['C09BA', 'C09B', 'C09', 'C'], ['C09AA', 'C09A', 'C09', 'C']]",C07016
DB00493,Cefotaxime,['J01DD01'],"[['J01DD', 'J01D', 'J01', 'J']]",C06885
DB00494,Entacapone,['N04BX02'],"[['N04BX', 'N04B', 'N04', 'N']]",C07943
DB00495,Zidovudine,"['J05AR04', 'J05AF01', 'J05AR05', 'J05AR01']","[['J05AR', 'J05A', 'J05', 'J'], ['J05AF', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J']]",C07210
DB00497,Oxycodone,"['N02AA56', 'N02AA05', 'N02AA55', 'N02AJ18', 'N02AJ17', 'N02AJ19']","[['N02AA', 'N02A', 'N02', 'N'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AA', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N']]",C08018
DB00498,Phenindione,['B01AA02'],"[['B01AA', 'B01A', 'B01', 'B']]",C07584
DB00499,Flutamide,['L02BB01'],"[['L02BB', 'L02B', 'L02', 'L']]",C07653
DB00500,Tolmetin,"['M01AB03', 'M02AA21']","[['M01AB', 'M01A', 'M01', 'M'], ['M02AA', 'M02A', 'M02', 'M']]",C07149
DB00501,Cimetidine,"['A02BA51', 'A02BA01']","[['A02BA', 'A02B', 'A02', 'A'], ['A02BA', 'A02B', 'A02', 'A']]",C06952
DB00502,Haloperidol,['N05AD01'],"[['N05AD', 'N05A', 'N05', 'N']]",C01814
DB00503,Ritonavir,"['J05AP53', 'J05AR10', 'J05AE30', 'J05AE03', 'J05AR23', 'J05AR26', 'J05AP52']","[['J05AP', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AE', 'J05A', 'J05', 'J'], ['J05AE', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AR', 'J05A', 'J05', 'J'], ['J05AP', 'J05A', 'J05', 'J']]",C07240
DB00505,Tridihexethyl,['A03AB08'],"[['A03AB', 'A03A', 'A03', 'A']]",C07861
DB00511,Acetyldigitoxin,['C01AA01'],"[['C01AA', 'C01A', 'C01', 'C']]",C16749
DB00513,Aminocaproic acid,['B02AA01'],"[['B02AA', 'B02A', 'B02', 'B']]",C02378
DB00514,Dextromethorphan,"['R05DA09', 'N07XX59']","[['R05DA', 'R05D', 'R05', 'R'], ['N07XX', 'N07X', 'N07', 'N']]",C06947
DB00515,Cisplatin,['L01XA01'],"[['L01XA', 'L01X', 'L01', 'L']]",C06911
DB00518,Albendazole,['P02CA03'],"[['P02CA', 'P02C', 'P02', 'P']]",C01779
DB00521,Carteolol,"['S01ED55', 'S01ED05', 'C07AA15']","[['S01ED', 'S01E', 'S01', 'S'], ['S01ED', 'S01E', 'S01', 'S'], ['C07AA', 'C07A', 'C07', 'C']]",C06874
DB00523,Alitretinoin,"['L01XF02', 'D11AH04']","[['L01XF', 'L01X', 'L01', 'L'], ['D11AH', 'D11A', 'D11', 'D']]",C15493
DB00527,Cinchocaine,"['D04AB02', 'S01HA06', 'S02DA04', 'N01BB06', 'C05AD04']","[['D04AB', 'D04A', 'D04', 'D'], ['S01HA', 'S01H', 'S01', 'S'], ['S02DA', 'S02D', 'S02', 'S'], ['N01BB', 'N01B', 'N01', 'N'], ['C05AD', 'C05A', 'C05', 'C']]",C07879
DB00531,Cyclophosphamide,['L01AA01'],"[['L01AA', 'L01A', 'L01', 'L']]",C07888
DB00533,Rofecoxib,['M01AH02'],"[['M01AH', 'M01A', 'M01', 'M']]",C07590
DB00535,Cefdinir,['J01DD15'],"[['J01DD', 'J01D', 'J01', 'J']]",C08110
DB00537,Ciprofloxacin,"['J01RA11', 'S03AA07', 'J01MA02', 'S02AA15', 'J01RA10', 'J01RA12', 'S01AE03']","[['J01RA', 'J01R', 'J01', 'J'], ['S03AA', 'S03A', 'S03', 'S'], ['J01MA', 'J01M', 'J01', 'J'], ['S02AA', 'S02A', 'S02', 'S'], ['J01RA', 'J01R', 'J01', 'J'], ['J01RA', 'J01R', 'J01', 'J'], ['S01AE', 'S01A', 'S01', 'S']]",C05349
DB00539,Toremifene,['L02BA02'],"[['L02BA', 'L02B', 'L02', 'L']]",C08166
DB00540,Nortriptyline,['N06AA10'],"[['N06AA', 'N06A', 'N06', 'N']]",C07274
DB00541,Vincristine,['L01CA02'],"[['L01CA', 'L01C', 'L01', 'L']]",C07204
DB00542,Benazepril,"['C09BB13', 'C09BA07', 'C09AA07']","[['C09BB', 'C09B', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C'], ['C09AA', 'C09A', 'C09', 'C']]",C06843
DB00544,Fluorouracil,"['L01BC52', 'L01BC02']","[['L01BC', 'L01B', 'L01', 'L'], ['L01BC', 'L01B', 'L01', 'L']]",C07649
DB00545,Pyridostigmine,['N07AA02'],"[['N07AA', 'N07A', 'N07', 'N']]",C07410
DB00548,Azelaic acid,['D10AX03'],"[['D10AX', 'D10A', 'D10', 'D']]",C08261
DB00549,Zafirlukast,['R03DC01'],"[['R03DC', 'R03D', 'R03', 'R']]",C07206
DB00550,Propylthiouracil,['H03BA02'],"[['H03BA', 'H03B', 'H03', 'H']]",C07569
DB00551,Acetohydroxamic acid,['G04BX03'],"[['G04BX', 'G04B', 'G04', 'G']]",C06808
DB00552,Pentostatin,['L01XX08'],"[['L01XX', 'L01X', 'L01', 'L']]",C02267
DB00553,Methoxsalen,"['D05BA02', 'D05AD02']","[['D05BA', 'D05B', 'D05', 'D'], ['D05AD', 'D05A', 'D05', 'D']]",C01864
DB00554,Piroxicam,"['M01AC01', 'M02AA07', 'S01BC06']","[['M01AC', 'M01A', 'M01', 'M'], ['M02AA', 'M02A', 'M02', 'M'], ['S01BC', 'S01B', 'S01', 'S']]",C01608
DB00557,Hydroxyzine,"['N05BB01', 'N05BB51']","[['N05BB', 'N05B', 'N05', 'N'], ['N05BB', 'N05B', 'N05', 'N']]",C07045
DB00558,Zanamivir,['J05AH01'],"[['J05AH', 'J05A', 'J05', 'J']]",C08095
DB00562,Benzthiazide,['G01AE10'],"[['G01AE', 'G01A', 'G01', 'G']]",C07759
DB00563,Methotrexate,"['L04AX03', 'L01BA01']","[['L04AX', 'L04A', 'L04', 'L'], ['L01BA', 'L01B', 'L01', 'L']]",C01937
DB00564,Carbamazepine,['N03AF01'],"[['N03AF', 'N03A', 'N03', 'N']]",C06868
DB00571,Propranolol,"['C07FX01', 'C07AA05', 'C07BA05']","[['C07FX', 'C07F', 'C07', 'C'], ['C07AA', 'C07A', 'C07', 'C'], ['C07BA', 'C07B', 'C07', 'C']]",C07407
DB00572,Atropine,"['S01FA01', 'A03CB03', 'A03BA01']","[['S01FA', 'S01F', 'S01', 'S'], ['A03CB', 'A03C', 'A03', 'A'], ['A03BA', 'A03B', 'A03', 'A']]",C01479
DB00573,Fenoprofen,['M01AE04'],"[['M01AE', 'M01A', 'M01', 'M']]",C06997
DB00574,Fenfluramine,"['A08AA02', 'N03AX26']","[['A08AA', 'A08A', 'A08', 'A'], ['N03AX', 'N03A', 'N03', 'N']]",C06996
DB00583,Levocarnitine,['A16AA01'],"[['A16AA', 'A16A', 'A16', 'A']]",C00318
DB00584,Enalapril,"['C09BA02', 'C09BB06', 'C09BB02', 'C09AA02']","[['C09BA', 'C09B', 'C09', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C09BB', 'C09B', 'C09', 'C'], ['C09AA', 'C09A', 'C09', 'C']]",C06977
DB00585,Nizatidine,['A02BA04'],"[['A02BA', 'A02B', 'A02', 'A']]",C07270
DB00586,Diclofenac,"['S01CC01', 'S01BC03', 'M01AB55', 'M02AA15', 'M01AB05', 'D11AX18']","[['S01CC', 'S01C', 'S01', 'S'], ['S01BC', 'S01B', 'S01', 'S'], ['M01AB', 'M01A', 'M01', 'M'], ['M02AA', 'M02A', 'M02', 'M'], ['M01AB', 'M01A', 'M01', 'M'], ['D11AX', 'D11A', 'D11', 'D']]",C01690
DB00590,Doxazosin,"['C02CA04', 'G04CA55']","[['C02CA', 'C02C', 'C02', 'C'], ['G04CA', 'G04C', 'G04', 'G']]",C06970
DB00592,Piperazine,['P02CB01'],"[['P02CB', 'P02C', 'P02', 'P']]",C07973
DB00593,Ethosuximide,"['N03AD01', 'N03AD51']","[['N03AD', 'N03A', 'N03', 'N'], ['N03AD', 'N03A', 'N03', 'N']]",C07505
DB00594,Amiloride,['C03DB01'],"[['C03DB', 'C03D', 'C03', 'C']]",C06821
DB00598,Labetalol,"['C07BG01', 'C07CG01', 'C07AG01']","[['C07BG', 'C07B', 'C07', 'C'], ['C07CG', 'C07C', 'C07', 'C'], ['C07AG', 'C07A', 'C07', 'C']]",C07063
DB00599,Thiopental,"['N01AF03', 'N05CB01', 'N05CA19']","[['N01AF', 'N01A', 'N01', 'N'], ['N05CB', 'N05C', 'N05', 'N'], ['N05CA', 'N05C', 'N05', 'N']]",C07521
DB00600,Monobenzone,['D11AX13'],"[['D11AX', 'D11A', 'D11', 'D']]",C14244
DB00603,Medroxyprogesterone acetate,"['G03AA08', 'G03DA02', 'G03FB06', 'G03FA12', 'L02AB02', 'G03AA17', 'G03AC06']","[['G03AA', 'G03A', 'G03', 'G'], ['G03DA', 'G03D', 'G03', 'G'], ['G03FB', 'G03F', 'G03', 'G'], ['G03FA', 'G03F', 'G03', 'G'], ['L02AB', 'L02A', 'L02', 'L'], ['G03AA', 'G03A', 'G03', 'G'], ['G03AC', 'G03A', 'G03', 'G']]",C08150
DB00604,Cisapride,['A03FA02'],"[['A03FA', 'A03F', 'A03', 'A']]",C06910
DB00605,Sulindac,['M01AB02'],"[['M01AB', 'M01A', 'M01', 'M']]",C01531
DB00606,Cyclothiazide,"['G01AE10', 'C03AB09', 'C03AA09']","[['G01AE', 'G01A', 'G01', 'G'], ['C03AB', 'C03A', 'C03', 'C'], ['C03AA', 'C03A', 'C03', 'C']]",C12685
DB00608,Chloroquine,"['P01BB52', 'P01BA01']","[['P01BB', 'P01B', 'P01', 'P'], ['P01BA', 'P01B', 'P01', 'P']]",C07625
DB00610,Metaraminol,['C01CA09'],"[['C01CA', 'C01C', 'C01', 'C']]",C07146
DB00611,Butorphanol,['N02AF01'],"[['N02AF', 'N02A', 'N02', 'N']]",C06863
DB00612,Bisoprolol,"['C07FX04', 'C07BB07', 'C07AB07', 'C09BX05', 'C09BX02', 'C09BX04', 'C07FB07']","[['C07FX', 'C07F', 'C07', 'C'], ['C07BB', 'C07B', 'C07', 'C'], ['C07AB', 'C07A', 'C07', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C09BX', 'C09B', 'C09', 'C'], ['C07FB', 'C07F', 'C07', 'C']]",C06852
DB00613,Amodiaquine,"['P01BF03', 'P01BA06']","[['P01BF', 'P01B', 'P01', 'P'], ['P01BA', 'P01B', 'P01', 'P']]",C07626
DB00614,Furazolidone,"['G01AX06', 'P01AB51']","[['G01AX', 'G01A', 'G01', 'G'], ['P01AB', 'P01A', 'P01', 'P']]",C07999
DB00615,Rifabutin,"['J04AB04', 'A02BD16']","[['J04AB', 'J04A', 'J04', 'J'], ['A02BD', 'A02B', 'A02', 'A']]",C07235
DB00617,Paramethadione,['N03AC01'],"[['N03AC', 'N03A', 'N03', 'N']]",C07411
DB00621,Oxandrolone,['A14AA08'],"[['A14AA', 'A14A', 'A14', 'A']]",C07346
DB00622,Nicardipine,['C08CA04'],"[['C08CA', 'C08C', 'C08', 'C']]",C07264
DB00623,Fluphenazine,['N05AB02'],"[['N05AB', 'N05A', 'N05', 'N']]",C07010
DB00624,Testosterone,"['G03BA03', 'G03EA02']","[['G03BA', 'G03B', 'G03', 'G'], ['G03EA', 'G03E', 'G03', 'G']]",C00535
DB00626,Bacitracin,"['J01XX10', 'D06AX05', 'R02AB04']","[['J01XX', 'J01X', 'J01', 'J'], ['D06AX', 'D06A', 'D06', 'D'], ['R02AB', 'R02A', 'R02', 'R']]",C15482
DB00627,Niacin,"['C10AD02', 'C10AD52', 'C10BA01', 'C04AC01']","[['C10AD', 'C10A', 'C10', 'C'], ['C10AD', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C04AC', 'C04A', 'C04', 'C']]",C00253
DB00628,Clorazepic acid,['N05BA05'],"[['N05BA', 'N05B', 'N05', 'N']]",C06921
DB00630,Alendronic acid,"['M05BB03', 'M05BA04', 'M05BB06', 'M05BB05']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BA', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M']]",C07752
DB00633,Dexmedetomidine,['N05CM18'],"[['N05CM', 'N05C', 'N05', 'N']]",C07450
DB00635,Prednisone,"['A07EA03', 'H02AB07']","[['A07EA', 'A07E', 'A07', 'A'], ['H02AB', 'H02A', 'H02', 'H']]",C07370
DB00636,Clofibrate,['C10AB01'],"[['C10AB', 'C10A', 'C10', 'C']]",C06916
DB00637,Astemizole,['R06AX11'],"[['R06AX', 'R06A', 'R06', 'R']]",C06832
DB00640,Adenosine,['C01EB10'],"[['C01EB', 'C01E', 'C01', 'C']]",C00212
DB00644,Gonadorelin,"['V04CM01', 'H01CA01']","[['V04CM', 'V04C', 'V04', 'V'], ['H01CA', 'H01C', 'H01', 'H']]",C07607
DB00645,Dyclonine,"['N01BX02', 'R02AD04']","[['N01BX', 'N01B', 'N01', 'N'], ['R02AD', 'R02A', 'R02', 'R']]",C07881
DB00647,Dextropropoxyphene,"['N02AC04', 'N02AC54', 'N02AC74']","[['N02AC', 'N02A', 'N02', 'N'], ['N02AC', 'N02A', 'N02', 'N'], ['N02AC', 'N02A', 'N02', 'N']]",C07406
DB00651,Dyphylline,"['R03DA20', 'R03DB01', 'R03DA51', 'R03DA01']","[['R03DA', 'R03D', 'R03', 'R'], ['R03DB', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R'], ['R03DA', 'R03D', 'R03', 'R']]",C07819
DB00652,Pentazocine,['N02AD01'],"[['N02AD', 'N02A', 'N02', 'N']]",C07421
DB00655,Estrone,"['G03CC04', 'G03CA07']","[['G03CC', 'G03C', 'G03', 'G'], ['G03CA', 'G03C', 'G03', 'G']]",C00468
DB00656,Trazodone,['N06AX05'],"[['N06AX', 'N06A', 'N06', 'N']]",C07156
DB00657,Mecamylamine,['C02BB01'],"[['C02BB', 'C02B', 'C02', 'C']]",C07511
DB00661,Verapamil,"['C09BB10', 'C08DA51', 'C08DA01']","[['C09BB', 'C09B', 'C09', 'C'], ['C08DA', 'C08D', 'C08', 'C'], ['C08DA', 'C08D', 'C08', 'C']]",C07188
DB00663,Flumethasone,"['D07AB03', 'D07BB01', 'S02CA02', 'D07CB05', 'D07XB01']","[['D07AB', 'D07A', 'D07', 'D'], ['D07BB', 'D07B', 'D07', 'D'], ['S02CA', 'S02C', 'S02', 'S'], ['D07CB', 'D07C', 'D07', 'D'], ['D07XB', 'D07X', 'D07', 'D']]",C14479
DB00665,Nilutamide,['L02BB02'],"[['L02BB', 'L02B', 'L02', 'L']]",C08164
DB00666,Nafarelin,['H01CA02'],"[['H01CA', 'H01C', 'H01', 'H']]",C07613
DB00668,Epinephrine,"['A01AD01', 'R03AK01', 'B02BC09', 'C01CA24', 'S01EA01', 'R01AA14', 'R03AA01', 'S01EA51']","[['A01AD', 'A01A', 'A01', 'A'], ['R03AK', 'R03A', 'R03', 'R'], ['B02BC', 'B02B', 'B02', 'B'], ['C01CA', 'C01C', 'C01', 'C'], ['S01EA', 'S01E', 'S01', 'S'], ['R01AA', 'R01A', 'R01', 'R'], ['R03AA', 'R03A', 'R03', 'R'], ['S01EA', 'S01E', 'S01', 'S']]",C00788
DB00669,Sumatriptan,"['N02CC01', 'G01AE10']","[['N02CC', 'N02C', 'N02', 'N'], ['G01AE', 'G01A', 'G01', 'G']]",C07319
DB00670,Pirenzepine,['A02BX03'],"[['A02BX', 'A02B', 'A02', 'A']]",C07508
DB00674,Galantamine,['N06DA04'],"[['N06DA', 'N06D', 'N06', 'N']]",C08526
DB00675,Tamoxifen,['L02BA01'],"[['L02BA', 'L02B', 'L02', 'L']]",C07108
DB00678,Losartan,"['C09CA01', 'C09DA01', 'C09DB06']","[['C09CA', 'C09C', 'C09', 'C'], ['C09DA', 'C09D', 'C09', 'C'], ['C09DB', 'C09D', 'C09', 'C']]",C07072
DB00680,Moricizine,['C01BG01'],"[['C01BG', 'C01B', 'C01', 'C']]",C07743
DB00682,Warfarin,['B01AA03'],"[['B01AA', 'B01A', 'B01', 'B']]",C01541
DB00683,Midazolam,['N05CD08'],"[['N05CD', 'N05C', 'N05', 'N']]",C07524
DB00685,Trovafloxacin,['J01MA13'],"[['J01MA', 'J01M', 'J01', 'J']]",C07664
DB00687,Fludrocortisone,"['S02CA07', 'S01CA06', 'H02AA02', 'S03CA05']","[['S02CA', 'S02C', 'S02', 'S'], ['S01CA', 'S01C', 'S01', 'S'], ['H02AA', 'H02A', 'H02', 'H'], ['S03CA', 'S03C', 'S03', 'S']]",C07004
DB00691,Moexipril,"['C09AA13', 'C09BA13']","[['C09AA', 'C09A', 'C09', 'C'], ['C09BA', 'C09B', 'C09', 'C']]",C07704
DB00694,Daunorubicin,"['L01DB02', 'L01XY01']","[['L01DB', 'L01D', 'L01', 'L'], ['L01XY', 'L01X', 'L01', 'L']]",C01907
DB00695,Furosemide,"['C03EB01', 'C03CA01', 'G01AE10', 'C03CB01']","[['C03EB', 'C03E', 'C03', 'C'], ['C03CA', 'C03C', 'C03', 'C'], ['G01AE', 'G01A', 'G01', 'G'], ['C03CB', 'C03C', 'C03', 'C']]",C07017
DB00696,Ergotamine,"['N02CA02', 'N02CA52', 'N02CA72']","[['N02CA', 'N02C', 'N02', 'N'], ['N02CA', 'N02C', 'N02', 'N'], ['N02CA', 'N02C', 'N02', 'N']]",C07544
DB00697,Tizanidine,['M03BX02'],"[['M03BX', 'M03B', 'M03', 'M']]",C07452
DB00700,Eplerenone,['C03DA04'],"[['C03DA', 'C03D', 'C03', 'C']]",C12512
DB00703,Methazolamide,"['G01AE10', 'S01EC05']","[['G01AE', 'G01A', 'G01', 'G'], ['S01EC', 'S01E', 'S01', 'S']]",C07764
DB00704,Naltrexone,"['N02AA56', 'N07BB04', 'A08AA62']","[['N02AA', 'N02A', 'N02', 'N'], ['N07BB', 'N07B', 'N07', 'N'], ['A08AA', 'A08A', 'A08', 'A']]",C07253
DB00706,Tamsulosin,"['G04CA52', 'G04CA02', 'G01AE10', 'G04CA54', 'G04CA53']","[['G04CA', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G'], ['G01AE', 'G01A', 'G01', 'G'], ['G04CA', 'G04C', 'G04', 'G'], ['G04CA', 'G04C', 'G04', 'G']]",C07124
DB00708,Sufentanil,['N01AH03'],"[['N01AH', 'N01A', 'N01', 'N']]",C08022
